D, Katou
Dustiness Ford, Ignis
Duuke, Kameyama
Duval, Audrey
Duvas, Petre
Dvorak
Dwargo, Gazeru
Dyne, Ulgar
Dyne, Van
Dyson, Isamu Alva
Dyson, Vargas
Dzap, Suzy
Dzhugashvili, Josef

